code,name,full_name
210503,溪湖区,辽宁省本溪市溪湖区
210504,明山区,辽宁省本溪市明山区
210505,南芬区,辽宁省本溪市南芬区
210521,本溪满族自治县,辽宁省本溪市本溪满族自治县
210522,桓仁满族自治县,辽宁省本溪市桓仁满族自治县
210600,丹东市,辽宁省丹东市
210602,元宝区,辽宁省丹东市元宝区
210603,振兴区,辽宁省丹东市振兴区
210604,振安区,辽宁省丹东市振安区
210624,宽甸满族自治县,辽宁省丹东市宽甸满族自治县
210681,东港市,辽宁省丹东市东港市
210682,凤城市,辽宁省丹东市凤城市
210700,锦州市,辽宁省锦州市
210702,古塔区,辽宁省锦州市古塔区
210703,凌河区,辽宁省锦州市凌河区
210711,太和区,辽宁省锦州市太和区
210726,黑山县,辽宁省锦州市黑山县
210727,义县,辽宁省锦州市义县
210781,凌海市,辽宁省锦州市凌海市
210782,北镇市,辽宁省锦州市北镇市
210800,营口市,辽宁省营口市
210802,站前区,辽宁省营口市站前区
210803,西市区,辽宁省营口市西市区
210804,鲅鱼圈区,辽宁省营口市鲅鱼圈区
210811,老边区,辽宁省营口市老边区
210881,盖州市,辽宁省营口市盖州市
210882,大石桥市,辽宁省营口市大石桥市
210900,阜新市,辽宁省阜新市
210902,海州区,辽宁省阜新市海州区
210903,新邱区,辽宁省阜新市新邱区
210904,太平区,辽宁省阜新市太平区
210905,清河门区,辽宁省阜新市清河门区
210911,细河区,辽宁省阜新市细河区
210921,阜新蒙古族自治县,辽宁省阜新市阜新蒙古族自治县
210922,彰武县,辽宁省阜新市彰武县
211000,辽阳市,辽宁省辽阳市
211002,白塔区,辽宁省辽阳市白塔区
211003,文圣区,辽宁省辽阳市文圣区
211004,宏伟区,辽宁省辽阳市宏伟区
211005,弓长岭区,辽宁省辽阳市弓长岭区
211011,太子河区,辽宁省辽阳市太子河区
211021,辽阳县,辽宁省辽阳市辽阳县
211081,灯塔市,辽宁省辽阳市灯塔市
211100,盘锦市,辽宁省盘锦市
211102,双台子区,辽宁省盘锦市双台子区
211103,兴隆台区,辽宁省盘锦市兴隆台区
211104,大洼区,辽宁省盘锦市大洼区
211122,盘山县,辽宁省盘锦市盘山县
211200,铁岭市,辽宁省铁岭市
211202,银州区,辽宁省铁岭市银州区
211204,清河区,辽宁省铁岭市清河区
